,method,best_Jaccard_index_for_cluster
248,Slingshot+tradeSeq (nPoints=200),0.023154848046309694
249,Slingshot+tradeSeq (nPoints=200),0.024941176470588234
250,Slingshot+tradeSeq (nPoints=200),0.09995027349577325
251,Slingshot+tradeSeq (nPoints=200),0.0702439024390244
252,Hotspot (n_neighbors=30),0.12124299541518084
253,Hotspot (n_neighbors=30),0.08025291828793775
254,Hotspot (n_neighbors=30),0.02219006271104679
255,Hotspot (n_neighbors=30),0.03660714285714286
256,Hotspot (n_neighbors=30),0.1851106639839034
257,Hotspot (n_neighbors=30),0.09416380578715057
258,Hotspot (n_neighbors=300),0.029546612328069283
259,Hotspot (n_neighbors=300),0.044220665499124345
260,Hotspot (n_neighbors=300),0.03227360308285164
261,Hotspot (n_neighbors=300),0.033921302578018994
262,Hotspot (n_neighbors=300),0.16817724068479356
263,Hotspot (n_neighbors=300),0.10702012763868433
264,nsNMF,0.02040816326530612
265,nsNMF,0.0211864406779661
266,nsNMF,0.0647342995169082
267,nsNMF,0.015203531142717018
268,nsNMF,0.058882737795671866
269,nsNMF,0.019294117647058823
270,SingleCellHaystack (k=3),0.10688073394495413
271,SingleCellHaystack (k=3),0.05799026117751217
272,SingleCellHaystack (k=3),0.07682458386683738
273,SingleCellHaystack (k=3),0.045641259698767686
274,SingleCellHaystack (k=3),0.09674185463659148
275,SingleCellHaystack (k=3),0.12341772151898735
276,SingleCellHaystack (k=5),0.09884281581485053
277,SingleCellHaystack (k=5),0.04790697674418604
278,SingleCellHaystack (k=5),0.06063522617901829
279,SingleCellHaystack (k=5),0.029038112522686024
280,SingleCellHaystack (k=5),0.09674185463659148
281,SingleCellHaystack (k=5),0.0970601959869342
282,SingleCellHaystack (k=6),0.09884281581485053
283,SingleCellHaystack (k=6),0.04790697674418604
284,SingleCellHaystack (k=6),0.06063522617901829
285,SingleCellHaystack (k=6),0.029038112522686024
286,SingleCellHaystack (k=6),0.09674185463659148
287,SingleCellHaystack (k=6),0.0970601959869342
288,SPIRAL (Jaccard index=0.05),0.15392015392015393
289,SPIRAL (Jaccard index=0.05),0.07682458386683738
290,SPIRAL (Jaccard index=0.05),0.2489351632749645
291,SPIRAL (Jaccard index=0.05),0.05132591958939264
292,SPIRAL (Jaccard index=0.05),0.23291015625
293,SPIRAL (Jaccard index=0.05),0.06939281288723669
294,SPIRAL (Jaccard index=0.5),0.18926296633303002
295,SPIRAL (Jaccard index=0.5),0.1650729743331656
296,SPIRAL (Jaccard index=0.5),0.2489351632749645
297,SPIRAL (Jaccard index=0.5),0.1889332003988036
298,SPIRAL (Jaccard index=0.5),0.23291015625
299,SPIRAL (Jaccard index=0.5),0.174408014571949
300,SPIRAL (Jaccard index=0.75),0.18926296633303002
301,SPIRAL (Jaccard index=0.75),0.1650729743331656
302,SPIRAL (Jaccard index=0.75),0.2489351632749645
303,SPIRAL (Jaccard index=0.75),0.1889332003988036
304,SPIRAL (Jaccard index=0.75),0.23291015625
305,SPIRAL (Jaccard index=0.75),0.174408014571949
306,Seurat,0.07204610951008646
307,Seurat,0.06003223207091055
308,Seurat,0.13371853074700785
309,Seurat,0.09376308078694014
310,Seurat,0.116542994325622
311,Seurat,0.07024106400665005
312,Slingshot+tradeSeq (nPoints=20),0.10584291187739464
313,Slingshot+tradeSeq (nPoints=20),0.052072800808897875
314,Slingshot+tradeSeq (nPoints=20),0.020603737422137038
315,Slingshot+tradeSeq (nPoints=20),0.02835538752362949
316,Slingshot+tradeSeq (nPoints=20),0.10383858267716535
317,Slingshot+tradeSeq (nPoints=20),0.0400390625
318,Slingshot+tradeSeq (nPoints=200),0.10777300906056271
319,Slingshot+tradeSeq (nPoints=200),0.051061678463094035
320,Slingshot+tradeSeq (nPoints=200),0.020124580737901295
321,Slingshot+tradeSeq (nPoints=200),0.032227930873423634
