,col,#genes,genes
10,V19,33,"['Itsn2', 'Nop14', 'Akt1s1', 'Mex3d', 'Rpl9-ps6', 'Plekha1', 'Dnajc18', 'Usp30', 'Trim23', 'C87436', 'Larp6', 'Zfp74', 'Rnf121', 'Rfc2', 'Thop1', 'Sf3a1', 'Acbd3', 'Rab10os', 'Faf2', 'Dzip1', 'Bcl2l11', 'Brd7', 'Kdm2a', 'Kxd1', 'Ahsa2', 'Sipa1', 'Pcyox1', 'B3galt6', 'Mad2l2', 'Wdr89', 'Mtf1', 'Trappc13', '1600020E01Rik']"
11,V2,126,"['Cbln1', 'Gm2694', 'Neurod1', 'Fat2', 'Shf', 'Zbtb18', 'Zic1', 'Diras2', 'Nrep', 'Chn2', 'Ddx5', 'Gabra6', 'Cbln3', 'Trim62', 'Mtcl1', 'Cnpy1', 'Selenom', 'H3f3b', 'Wscd2', 'Calb2', 'Plch2', 'Snrk', 'Mpp3', 'Mmp24', 'Grin2c', 'Tmem132a', 'Mir124a-1hg', 'Grm4', 'Stmn2', 'Dpysl4', 'Adamts10', 'Kcnt1', 'Atp1a1', 'Cadm3', 'Il16', 'Adcy1', 'Smg1', 'Adam11', 'Gm47283', 'Megf11', 'Dusp5', 'Dgkd', 'Pxn', 'Gabrd', 'Il20rb', 'Tmem266', 'Clip3', 'Bmp1', 'Ablim1', 'Appl2', 'Abhd16a', 'Ndrg3', 'Rps6ka1', 'Ndst3', 'Aifm3', 'Rnf112', 'Tspan4', 'Ppfia4', 'Kcnk3', 'Rgl3', 'Kcnc1', 'Crtam', 'Ajm1', 'Prune2', 'Gm49980', 'Usp3', 'Pitpnm1', 'Sh3gl2', 'Cadps2', 'Cdh15', 'Car4', 'Reln', 'Mybpc3', 'Ypel3', 'Tle2', 'Dot1l', 'Mapk12', 'Camkk2', 'Kcnd2', 'Bcl2l15', 'Tesc', 'Ank1', 'Olfm3', 'Tmem240', 'Paxx', 'Slc16a11', 'Epb41', 'Ccnl2', 'Stap2', 'Kcnk1', 'Cacna1a', 'Pcbp4', 'Sphkap', 'Tspan9', 'Uncx', 'Zfyve28', 'Shisa8', 'Chd7', 'Sh3glb2', 'Ifitm10', 'Scn2b', 'Btbd3', 'Zfp219', 'Ackr1', 'Luc7l3', 'Kank2', 'Hnrnpa2b1', 'Lncppara', 'Arhgef7', 'Ablim3', 'Tmem145', 'Plk5', 'Porcn', '1700023F06Rik', 'En2', 'Wnt7a', 'H1f0', 'Ptpn22', 'Snhg20', 'Crhr1', 'Trim3', 'Inpp5j', 'Mtch2', 'Barhl2', 'Scn1b', 'Pde1c']"
12,V20,60,"['Sarnp', 'Svbp', 'Otud6b', 'Rbm7', 'Galc', 'Ly6c1', 'Slco1a4', 'Aimp2', 'Cxcl12', 'Kdr', 'Bsg', 'Utp14a', 'Riok3', 'Cldn5', 'Higd1b', 'Vps8', 'Pgam5', 'Wtap', 'Uckl1', 'Nfkbia', 'Blvrb', 'Map1s', 'Tmem170b', 'Caml', 'Cbl', 'Esam', 'Spout1', 'Smad9', 'Kpnb1', 'Adgrl4', 'Elk3', 'Rasip1', 'Eogt', 'Haus8', 'Mrps35', 'Tek', 'Rit1', 'Cbll1', 'Sgpp1', 'Eif6', 'Ndufa4l2', 'Tmcc1', 'Flt1', 'Stat3', 'Zc3h13', 'Snapc2', 'Ppm1g', 'Cpeb2', 'Usp49', 'Nalcn', 'Rnf166', 'Ly6a', 'Ireb2', 'Naa30', 'Fam117b', 'Pip4k2b', 'Eif2s3x', 'Lrfn3', 'Ext2', 'Prom1']"
13,V3,102,"['Hpcal4', 'Arf3', 'Foxg1', 'Fam131a', '2010300C02Rik', 'Camk2a', 'Rasgef1a', 'Ptk2b', 'Adgrb2', 'Enc1', 'Mmd', 'Shisa7', 'Cnih2', 'Icam5', 'Kcnip2', 'Ddn', 'Matk', 'Chn1', 'Fbxl16', 'Camkv', 'Snca', 'Ctxn1', 'Ppp3ca', 'Rgs14', 'Psd', 'Celf5', 'Plk2', 'Rasl10a', 'Olfm1', 'Prr7', 'Bcl11b', 'Lhx2', 'Rprml', 'Rin1', 'Chrm1', 'Gria2', 'Wipf3', 'Chst1', 'Nell2', 'Plppr4', 'Sprn', 'Plekhg5', 'Dynll1', 'Pld3', 'Cacna1h', 'Sipa1l1', 'St6galnac5', 'Plppr2', 'Scn3b', 'Rab40b', 'Islr2', 'Hrk', 'Basp1', 'Syne1', 'Neurod6', 'Slc30a3', 'Itpka', 'Hpca', 'Mal2', 'Neto1', 'Wasf1', 'Grasp', 'Mast3', 'Agap2', 'Sowaha', 'Tmem158', 'Cpne6', 'Rapgefl1', 'Ppp3r1', 'Slit1', 'Syt16', 'Prkce', 'Nr4a3', 'Myo5b', 'Pak6', 'Thra', 'Synpo', 'Egr3', 'Mrtfb', 'Kcnj4', 'Nrgn', 'Cacnb3', 'Erc2', 'D430019H16Rik', 'Dbn1', 'Arhgap33', 'Cck', 'Jph4', 'Baiap2', 'Pde2a', 'Mas1', 'Cnksr2', '3110039M20Rik', 'Grin2b', 'Dlgap1', 'Efna3', 'Pde1a', 'Pitpnm2', 'Iqgap2', 'Fam163b', 'Mpped1', 'Grin2a']"
14,V4,118,"['Ifitm2', 'Pcolce', 'Slc7a11', 'Ifitm3', 'Col1a2', 'Id3', 'Cfh', 'Ifitm1', 'Vtn', 'Colec12', 'Serping1', 'S100a11', 'Isyna1', 'Slc6a13', 'Slc6a20a', 'Fn1', 'Aebp1', 'Gjb2', 'Vwf', 'Bmp6', 'Dab2', 'Foxc1', 'Nupr1', 'Cp', 'Efemp1', 'Igf2', 'Timp3', 'Bmp7', 'Lamb2', 'Emp3', 'Bgn', 'Rbp1', 'Fbln1', 'Anxa2', 'Col1a1', 'Cavin1', 'Slc13a3', 'Lgals1', 'Rcn3', 'Txnip', 'Tgm2', 'Hspb8', 'Fxyd5', 'Thbd', 'Fmod', 'Nbl1', 'Slc13a4', 'Ogn', 'Ftl1', 'Islr', 'Serpinf1', 'Ahnak', 'Hspb1', 'Slc22a6', 'Lrg1', 'Slc22a8', 'Prelp', 'Lyz2', 'Apoe', 'Myl9', 'Myoc', 'Ranbp3l', 'Mrc2', 'Ptprb', 'Col3a1', 'Crip1', 'Tgfbr3', 'Igfbp2', 'Cnn2', 'Gstm2', 'Srgn', 'Itih2', 'Vcam1', 'Alas2', 'Ptn', 'Mgp', 'Tmem176b', 'Hba-a1', 'Foxd1', 'Hba-a2', 'Hbb-bt', 'Bcam', 'Slc38a5', 'Slc12a7', 'Arhgap29', 'Ddr2', 'Pf4', 'Wnt6', 'Hbb-bs', 'Gpr182', 'Serpinh1', 'Id1', 'Isg20', 'Mxra8', 'Aldh1a2', 'Sned1', 'Ptgds', 'Hmgcs2', 'B2m', 'Crabp2', 'Olfml3', 'Myl12a', 'Stab1', 'Uaca', 'Pdgfrb', 'Sphk1', 'Scarf2', 'Rnase4', 'Anxa3', 'Tnfrsf1a', 'H2-K1', 'Tagln', 'Tspo', 'Fabp7', 'Ube2l6', 'Flna', 'AI987944', 'Perp']"
15,V5,58,"['Ldhb', 'Atp1a3', 'Vamp1', 'Nat8l', 'Nefh', 'Hapln4', 'Scn1a', 'Kcnab3', 'Ina', 'Cox6c', 'Rit2', 'Mdh1', 'Cox7b', 'Bend6', 'Nefm', 'Cox5a', 'Scn4b', 'Chga', 'Tuba1b', 'Scrt1', 'Nefl', 'Rasgrp2', 'Atp1b1', 'Map7d2', 'Ndufb8', 'Atp5b', 'Atp5j2', 'Got1', 'Gnas', 'Atp5mpl', 'Cplx1', 'Cend1', 'Uqcrh', 'Hspa4l', 'Tspyl4', 'Zfp385a', 'Limk1', 'Rell2', 'Chchd10', 'Ckmt1', 'Pkm', 'Kcnab2', 'Slc25a4', 'Ndufb5', 'Atp5g3', 'Hspa8', 'Ndufa6', 'Ndufc1', 'Dynll2', 'Cadps', 'Ghitm', 'Abat', 'Sparcl1', 'Sgpp2', 'Fbxo9', 'Klhdc8a', 'Ret', 'Kcnh2']"
16,V6,253,"['Fam107a', 'Pcp2', 'Pvalb', 'Metrn', 'Sbk1', 'Gng13', 'Itpr1', 'Kit', 'Homer3', 'Nsg1', 'Washc2', 'Slc1a3', 'Grid2', 'Timp4', 'Inpp5a', 'Gpr37l1', 'Arhgef33', 'Stk17b', 'Atl2', 'Calb1', 'Dner', 'Rgs8', 'Gdf10', 'Slc1a6', 'Trpc3', 'Icmt', 'Mtss1', 'Car8', 'Syndig1', 'Atp2a3', 'Kcng4', 'Dgkz', 'Tuba8', 'Shisa6', 'Fam107b', 'Garnl3', 'Clec2l', 'Lhx1os', 'Iltifb', 'Ppp1r17', 'Cacna1g', 'Pde5a', 'Cep76', 'Ptprr', 'Slc41a3', 'Gabra1', 'Ywhah', 'Rnf19b', 'Hopx', 'Psd2', 'Cdc42ep4', 'Col18a1', 'Strip2', 'Sptbn2', 'Slc20a1', 'Gria4', 'Lingo3', 'Asph', 'Ckb', 'Plekhd1', 'Bcar1', 'Hes3', 'Slc6a1', 'Rmdn3', 'Aldoc', 'Nrk', 'Cacna2d2', 'Csdc2', 'Zfp385c', 'Gria1', 'Arhgap5', 'Pcsk6', 'Fzd1', 'Ctxn3', 'Itm2b', 'Ppp1r1b', 'Atp2a2', 'Kitl', 'Fcor', 'Prmt8', 'Atp2b2', 'Prkcg', 'Sla', 'Selenos', 'Gad1', 'Inpp4a', 'Dbi', 'Ptprz1', 'Trim67', 'Gm5083', 'Id2', 'Trim9', 'Hpcal1', 'Grm1', 'Erg28', 'Ryr1', 'Kcnip1', 'Arhgap26', 'Cerk', 'Steap2', 'Cyth3', 'Clstn3', 'Ppp1r16b', 'Gm29521', 'Gpm6b', 'Mybpc1', 'Car7', 'Erp29', 'Hcn1', 'Dipk2a', 'Ntn1', 'Gpd1', 'Pde9a', 'Cystm1', 'Lypd6', '2410124H12Rik', 'Pebp1', 'Prxl2a', 'Pcp4', 'Plxdc1', 'Sorl1', 'B3gnt5', 'Muc3a', 'Mpp6', 'Casq2', 'Cacng2', 'Akain1', 'Il22', 'Spry3', 'Tfap2b', 'Luzp2', 'Shank2', 'Paxbp1', 'Gm13944', 'Ttll5', 'Fam174b', 'Dagla', 'Acsbg1', 'Kcnc3', 'Dipk1b', 'Kcnma1', 'Mprip', 'Sycp1', 'Gm14033', 'Kctd12', 'Eps8l2', 'Whrn', 'Nomo1', 'Fgf11', 'Btbd17', 'Dap', 'Plcb3', 'Plpp6', 'Creg1', 'Zdhhc14', 'Polr3k', 'Krt25', 'Pkp3', 'Kcnab1', 'Cacng5', 'Stac', 'Ptprm', 'Vim', 'Reep2', 'Lgi4', 'Mtss2', 'Arap1', 'H2-D1', 'Ttll3', 'Ust', 'Scg3', 'Epha8', 'Slc32a1', '1500009C09Rik', 'Prex2', 'Tlcd1', 'Lhpp', 'Tspan11', 'Flt3', '0610040J01Rik', 'Slco4a1', 'Dpy19l3', 'Cd70', 'Gsap', 'Tlnrd1', 'Lpgat1', 'Fgf7', 'Sema4g', 'Tmem255a', 'Opn3', 'Prkg1', 'Npr1', 'Dusp10', 'Frrs1l', 'Gfod1', 'Msx2', 'Ppp1cc', 'Dpp10', 'Doc2b', 'Armh4', 'Rreb1', 'Arl4c', 'Hunk', 'Kcnip4', 'Lrrc38', 'Mindy2', 'Slc9a3', 'Trabd2b', 'Slc20a2', 'Cmya5', 'Selenow', 'Fam173a', 'Nek2', 'Skor1', 'Lxn', 'Banp', 'Fam117a', 'Slc5a1', 'Gas1', 'Cep72', 'Plekho2', 'Socs2', 'Gipc2', 'Krt28', 'Abi3bp', 'March11', 'Ddo', 'Foxp4', 'Frmpd4', 'Cds1', 'Cables1', 'Nat8f1', 'Tnc', 'Far2', 'Gldc', 'Mcc', 'Htr1b', 'Dao', 'Cpsf4l', 'Rhod', 'Ahcyl1', 'Ccdc107', 'Scd3', 'Ndufa4', 'Inpp5e', 'Tex261', 'Serf2', 'Tm6sf1', 'Smpx', 'Insyn1', 'Sptan1', 'A2m', 'Ndrg2']"
17,V7,44,"['Smarcc1', 'Ggct', 'Hemk1', '1110017D15Rik', 'Mia', 'Sulf1', 'Slc31a1', 'Clic6', 'Col9a3', 'Lgals3bp', 'Coq6', 'Vat1l', 'Rarres2', 'Rdh5', 'Dbnl', '1700094D03Rik', 'Ace', 'Sf3a3', 'Sephs1', 'Dynlrb2', 'Rsph1', 'Cfap126', 'Ecrg4', 'Emd', 'Cab39l', 'Kl', 'Sostdc1', 'Trpm3', 'Spint2', '2900040C04Rik', 'Prlr', 'Folr1', 'Emb', 'Trpv4', 'Slc4a2', 'Cul4b', 'Csrp2', 'Gm19935', 'Tbc1d9', 'Calml4', 'H13', 'Otx2', 'Sos1', 'Slc2a12']"
18,V8,102,"['Ptpn4', 'Ptpn3', 'Cit', 'Ramp3', 'Ntng1', 'Amotl1', 'Pdp1', 'Ccdc136', 'Gabra4', 'Bok', 'Kcnc2', 'Adarb1', 'Rgs16', 'Rora', 'Plekhg1', 'Synpo2', 'Pakap', 'Ildr2', 'Ogfrl1', 'Shisal1', 'Lef1', 'Zdhhc22', 'Gabbr2', 'Shox2', 'Prkcd', 'Lrtm2', 'Tnnt1', 'Adra1b', 'Nell1', 'Nrip3', 'Rasd1', 'Nsmf', 'Adarb2', 'Slc24a2', 'Zmat4', 'Zfp804a', 'Tcf7l2', 'Clmn', 'Samd5', 'Cdkl5', 'Sptbn1', 'Hlf', 'Rasgrp1', 'Chrna4', 'Pitpnc1', 'Dlgap3', 'Vipr2', 'Nr2f1', 'Atp2b1', 'Adgra1', 'Zfhx3', 'Elmo1', 'Mb21d2', 'Rab37', 'Rgs7bp', 'Lrrtm1', 'Rims3', 'Rap1gap', 'Vav3', 'Sh3d19', 'Adamts15', 'Nt5dc3', 'Rorb', 'Slitrk6', 'Foxp2', 'Cox6a2', 'Gjc1', 'Nexn', 'Cdk5r1', 'Osbpl5', 'Hrh3', 'L1cam', 'Rgs4', 'Hdac9', 'Rasl11a', 'B230334C09Rik', 'Socs6', 'Gbx2', 'Rassf3', 'AI593442', 'Raver2', 'Plekha7', 'Atp6ap2', 'Megf9', 'Ndrg4', 'Adgrb1', 'F2r', 'Vangl1', 'Fam20c', 'Slc17a6', 'Relt', 'Tiam1', 'Kctd17', 'Gpr12', 'Tpd52l1', 'Rab3c', 'Trnp1', 'Mrvi1', 'Gpc1', 'Extl3', 'Edil3', 'Xylt2']"
19,V9,49,"['Hap1', 'Timp2', 'Gap43', 'Pgrmc1', 'Wdr6', 'Gaa', 'Lypd1', 'Zcchc12', 'Ahi1', '6330403K07Rik', 'Nr2f2', 'Tubb2a', 'Ndn', 'Cdh13', 'Pnck', 'Zcchc18', 'Cpne7', 'Ly6h', 'Rian', 'Nsg2', 'Syn2', 'Bex2', 'Arhgap6', 'Actg1', 'Myh7', 'Atp6v0c', 'Tmem130', 'Zwint', 'Trhr', 'Resp18', 'AW551984', 'Gprasp1', 'Cadm1', 'Rxrg', 'Gprasp2', 'Ecel1', 'Bex3', 'Pnmal2', 'Nme1', 'Maged1', 'Usp11', 'Ptpro', 'Negr1', 'Plxnc1', 'Atp2b4', 'Ptprn', 'Dio3', 'Gpr101', 'Pcdh19']"
